file_path	identifier	git_commit_date
literature_mining/outputs/chemical_utilization_anthropic_claude-sonnet_20251031_190413.yaml	fmicb-13-921635	2025-11-01
literature_mining/outputs/chemical_utilization_anthropic_claude-sonnet_20251031_190413.yaml	fmicb-14-1258452	2025-11-01
literature_mining/outputs/archive/experiments/morphology_gpt-4o_20251030_174301.yaml	10843040	2025-10-30
literature_mining/outputs/morphology_gpt-4o_20251030_174301.yaml	10843040	2025-10-30
literature_mining/outputs/archive/experiments/morphology_gpt-4o_20251030_180642.yaml	11114919	2025-10-30
literature_mining/outputs/chemical_utilization_gpt-4o_20251030_162000.yaml	11114919	2025-10-30
literature_mining/outputs/growth_conditions_gpt-4o_20251030_142703.yaml	11114919	2025-10-30
literature_mining/outputs/morphology_gpt-4o_20251030_180642.yaml	11114919	2025-10-30
literature_mining/outputs/archive/experiments/morphology_gpt-4o_20251030_174301.yaml	11321104	2025-10-30
literature_mining/outputs/morphology_gpt-4o_20251030_174301.yaml	11321104	2025-10-30
literature_mining/outputs/archive/experiments/morphology_gpt-4o_20251030_180642.yaml	11502173	2025-10-30
literature_mining/outputs/chemical_utilization_gpt-4o_20251030_162000.yaml	11502173	2025-10-30
literature_mining/outputs/growth_conditions_gpt-4o_20251030_142703.yaml	11502173	2025-10-30
literature_mining/outputs/morphology_gpt-4o_20251030_180642.yaml	11502173	2025-10-30
literature_mining/outputs/archive/experiments/morphology_gpt-4o_20251030_174301.yaml	11594608	2025-10-30
literature_mining/outputs/morphology_gpt-4o_20251030_174301.yaml	11594608	2025-10-30
literature_mining/outputs/archive/experiments/morphology_gpt-4o_20251030_180642.yaml	11761326	2025-10-30
literature_mining/outputs/chemical_utilization_gpt-4o_20251030_162000.yaml	11761326	2025-10-30
literature_mining/outputs/growth_conditions_gpt-4o_20251030_142703.yaml	11761326	2025-10-30
literature_mining/outputs/morphology_gpt-4o_20251030_180642.yaml	11761326	2025-10-30
literature_mining/outputs/archive/experiments/morphology_hybrid_gpt4o_t00_20251031_202849.yaml	1258452	2025-11-01
literature_mining/outputs/archive/experiments/morphology_v2_gpt4o_t00_20251031.yaml	1258452	2025-11-01
literature_mining/outputs/archive/experiments/morphology_v3_gpt4o_t00_20251031.yaml	1258452	2025-11-01
literature_mining/outputs/archive/experiments/morphology_v4_gpt4o_t00_20251031.yaml	1258452	2025-11-01
literature_mining/outputs/archive/superseded/fullpaper_prototype_chemical_20251031_151234.yaml	1258452	2025-11-01
literature_mining/outputs/archive/superseded/fullpaper_prototype_chemical_ctd_20251031_182359.yaml	1258452	2025-11-01
literature_mining/outputs/archive/superseded/fullpaper_prototype_chemical_enhanced_20251031_180125.yaml	1258452	2025-11-01
literature_mining/outputs/archive/superseded/fullpaper_prototype_chemical_v2_20251031_160738.yaml	1258452	2025-11-01
literature_mining/outputs/archive/superseded/fullpaper_prototype_chemical_v3_20251031_163102.yaml	1258452	2025-11-01
literature_mining/outputs/biochemical_base_fullcorpus_gpt4o_t00_20251031_231715.yaml	1258452	2025-11-01
literature_mining/outputs/biochemical_hybrid_fullcorpus_gpt4o_t00_20251031_232234.yaml	1258452	2025-11-01
literature_mining/outputs/chemical_utilization_hybrid_fullcorpus_gpt4o_t00_20251031_221515.yaml	1258452	2025-11-01
literature_mining/outputs/cmm_fullcorpus_gpt4o_t00_20251031_193935.yaml	1258452	2025-11-01
literature_mining/outputs/fullpaper_hybrid_gpt4o_t00.yaml	1258452	2025-11-01
